EventNum,Event,Place,Crew,CrewAbbrev,Bow,Stroke,Start,Finish,500m,1000m,1500m,Backup_B,RawTime,PenaltyCode,AdjTime,Delta,Qual,Rank
8,M1x K1,1.0,Jelgavas BJSS,JBJSS,32,STRAZDS Patriks 05,13:53:23.02,13:54:18.81,,,,55.5,00:55.79,,00:55.79,,,
8,M1x K1,,MSĢ TSV SASS,SASS,25,REZEVSKIS Gustavs 06,13:53:23.02,,,,,,,,,,,
9,M1x K2,1.0,MSĢ TSV SASS,SASS,12,ZIRNIS Artūrs 07,13:56:00.83,13:56:47.62,,,,46.8,00:46.79,,00:46.79,,,
9,M1x K2,2.0,Jelgavas BJSS,JBJSS,1,SĒJĀNS Valters 06,13:56:00.83,13:56:47.99,,,,47.2,00:47.16,,00:47.16,00:00.37,,
10,M1x K3,1.0,LOVE,LOVE,30,ANDERSONS Vladislavs 05,13:57:43.36,13:58:29.72,,,,46.6,00:46.36,,00:46.36,,,
10,M1x K3,2.0,MSĢ TSV SASS,SASS,29,RASA Henriks 08,13:57:43.36,13:58:30.50,,,,47.4,00:47.14,,00:47.14,00:00.78,,
11,M1x K4,1.0,Jelgavas BJSS,JBJSS,33,DONOVS Emīls Niks 06,13:59:23.98,14:00:12.18,,,,48.2,00:48.20,,00:48.20,,,
11,M1x K4,2.0,Daugavpils Sporta skola,DSS,10,ŠALKOVSKIS Jegors 06,13:59:23.98,14:00:14.25,,,,50.3,00:50.27,,00:50.27,00:02.07,,
12,M1x K5,1.0,MSĢ TSV SASS,SASS,4,SKIRMANTS Henrijs 08,14:01:21.13,14:02:06.91,,,,45.9,00:45.78,,00:45.78,,,
12,M1x K5,2.0,AK Daugava,AKDG,16,LABLAIKS Laurenss 01,14:01:21.13,14:02:10.10,,,,48.8,00:48.97,,00:48.97,00:03.19,,
13,M1x K6,1.0,Jelgavas BJSS,JBJSS,5,KOLOSOVS Ņikita 07,14:03:10.59,14:03:57.56,,,,47.2,00:46.97,,00:46.97,,,
13,M1x K6,2.0,Individuāli,IND,17,KUDELKO Marko 05,14:03:10.59,14:03:59.42,,,,48.8,00:48.83,,00:48.83,00:01.86,,
14,M1x K7,1.0,MSĢ TSV SASS,SASS,26,BERZIŅŠ Krists 08,14:05:27.73,14:06:15.60,,,,48.0,00:47.87,,00:47.87,,,
14,M1x K7,2.0,MSĢ TSV SASS,SASS,6,GRUNDĀNS Igo 02,14:05:27.73,14:06:15.67,,,,48.2,00:47.94,,00:47.94,00:00.07,,
15,M1x K8,1.0,Individuāli,IND,18,KRŪMIŅŠ Krists Tomass 04,14:08:02.56,14:08:50.38,,,,48.0,00:47.82,,00:47.82,,,
15,M1x K8,2.0,MSĢ TSV Jūrmala,MSG,19,SPRŪDE Mihails 07,14:08:02.56,14:08:53.05,,,,50.3,00:50.49,,00:50.49,00:02.67,,
16,M1x Q1,1.0,Jelgavas BJSS,JBJSS,32,STRAZDS Patriks 05,14:09:19.59,14:10:05.44,,,,45.6,00:45.85,,00:45.85,,,
16,M1x Q1,2.0,MSĢ TSV SASS,SASS,12,ZIRNIS Artūrs 07,14:09:19.59,14:10:05.50,,,,46.1,00:45.91,,00:45.91,00:00.06,,
17,M1x Q2,1.0,Jelgavas BJSS,JBJSS,33,DONOVS Emīls Niks 06,14:11:04.72,14:11:51.01,,,,46.4,00:46.29,,00:46.29,,,
17,M1x Q2,2.0,LOVE,LOVE,30,ANDERSONS Vladislavs 05,14:11:04.72,14:11:52.24,,,,47.6,00:47.52,,00:47.52,00:01.23,,
18,M1x Q3,1.0,MSĢ TSV SASS,SASS,4,SKIRMANTS Henrijs 08,14:12:57.30,14:13:43.22,,,,46.1,00:45.92,,00:45.92,,,
18,M1x Q3,2.0,Jelgavas BJSS,JBJSS,5,KOLOSOVS Ņikita 07,14:12:57.30,14:13:47.46,,,,50.2,00:50.16,,00:50.16,00:04.24,,
19,M1x Q4,1.0,Individuāli,IND,18,KRŪMIŅŠ Krists Tomass 04,14:14:39.18,14:15:26.68,,,,47.6,00:47.50,,00:47.50,,,
19,M1x Q4,2.0,MSĢ TSV SASS,SASS,26,BERZIŅŠ Krists 08,14:14:39.18,14:15:27.43,,,,48.4,00:48.25,,00:48.25,00:00.75,,
20,M1x S1,1.0,Jelgavas BJSS,JBJSS,33,DONOVS Emīls Niks 06,14:18:09.37,14:18:55.95,,,,46.8,00:46.58,,00:46.58,,,
20,M1x S1,2.0,Jelgavas BJSS,JBJSS,32,STRAZDS Patriks 05,14:18:09.37,14:18:57.13,,,,48.0,00:47.76,,00:47.76,00:01.18,,
21,M1x S2,1.0,MSĢ TSV SASS,SASS,4,SKIRMANTS Henrijs 08,14:19:54.14,14:20:40.52,,,,46.5,00:46.38,,00:46.38,,,
21,M1x S2,2.0,Individuāli,IND,18,KRŪMIŅŠ Krists Tomass 04,14:19:54.14,14:20:41.02,,,,47.3,00:46.88,,00:46.88,00:00.50,,
22,M1x FB,1.0,Jelgavas BJSS,JBJSS,32,STRAZDS Patriks 05,14:24:31.27,14:25:18.21,,,,46.9,00:46.94,,00:46.94,,,
22,M1x FB,2.0,Individuāli,IND,18,KRŪMIŅŠ Krists Tomass 04,14:24:31.27,14:25:19.97,,,,48.9,00:48.70,,00:48.70,00:01.76,,
23,M1x FA,1.0,Jelgavas BJSS,JBJSS,33,DONOVS Emīls Niks 06,14:30:10.02,14:30:54.95,,,,44.9,00:44.93,,00:44.93,,,
23,M1x FA,2.0,MSĢ TSV SASS,SASS,4,SKIRMANTS Henrijs 08,14:30:10.02,14:30:57.37,,,,46.2,00:47.35,,00:47.35,00:02.42,,
24,M2- K1,1.0,MSĢ TSV Jūrmala,MSG,6,DRENGERS Kristers  07/KŪKOJS Rūdis  08,14:37:21.35,14:38:11.34,,,,50.0,00:49.99,,00:49.99,,,
24,M2- K1,2.0,Daugavpils Sporta skola,DSS,1,LEDAKS Vladislavs 08/JEGOROVS Maksims 09,14:37:21.35,14:38:16.84,,,,55.2,00:55.49,,00:55.49,00:05.50,,
25,M2- K2,1.0,RAK1872,RAK,3,BALTAIS Vidis 73/BRIUKS Mārtiņš 73,14:39:39.77,14:40:29.02,,,,49.5,00:49.25,,00:49.25,,,
25,M2- K2,2.0,Daugavpils Sporta skola,DSS,4,VANAGS Vadims 06/PUŠKELIS Nikita 08,14:39:39.77,14:40:35.19,,,,55.2,00:55.42,,00:55.42,00:06.17,,
26,M2- S1,1.0,Daugavpils Sporta skola/LOVE,DSS/LOVE,2,AZAREVIČS Rihards 05/FJODOROVS Artūrs 07,14:43:50.77,14:44:37.27,,,,46.3,00:46.50,,00:46.50,,,
26,M2- S1,2.0,MSĢ TSV Jūrmala,MSG,6,DRENGERS Kristers  07/KŪKOJS Rūdis  08,14:43:50.77,14:44:40.62,,,,50.0,00:49.85,,00:49.85,00:03.35,,
